team_id,nom,nom_court,code_tla,pays,code_pays,logo_url,couleurs_club,site_web,selectionneur,nationalite_selectionneur,derniere_maj
758,Uruguay,Uruguay,URU,Uruguay,URY,https://crests.football-data.org/758.svg,Sky Blue / White / Black,http://www.auf.org.uy,Marcelo Bielsa,Argentina,2026-06-19 16:34:46
759,Germany,Germany,GER,Germany,DEU,https://crests.football-data.org/759.svg,White / Black,http://www.dfb.de,Julian Nagelsmann,Germany,2026-06-19 16:34:46
760,Spain,Spain,ESP,Spain,ESP,https://crests.football-data.org/760.svg,Red / Blue / Yellow,http://www.rfef.es,Luis de la Fuente,Spain,2026-06-19 16:34:46
761,Paraguay,Paraguay,PAR,Paraguay,PRY,https://crests.football-data.org/761.svg,Red / White / Blue,http://www.apf.org.py,Gustavo Alfaro,Argentina,2026-06-19 16:34:46
762,Argentina,Argentina,ARG,Argentina,ARG,https://crests.football-data.org/762.png,Sky Blue / White / Black,http://www.afa.org.ar,Lionel Scaloni,Argentina,2026-06-19 16:34:46
763,Ghana,Ghana,GHA,Ghana,GHA,https://crests.football-data.org/ghana.svg,White / Black,http://www.ghanafa.org,Carlos Queiroz,Portugal,2026-06-19 16:34:46
764,Brazil,Brazil,BRA,Brazil,BRA,https://crests.football-data.org/764.svg,Yellow / Green / Blue,http://www.cbf.com.br/,Carlo Ancelotti,Italy,2026-06-19 16:34:46
765,Portugal,Portugal,POR,Portugal,POR,https://crests.football-data.org/765.svg,Red / Green,http://www.fpf.pt,Roberto Martínez,Spain,2026-06-19 16:34:46
766,Japan,Japan,JPN,Japan,JPN,https://crests.football-data.org/766.svg,Blue / White,http://www.jfa.or.jp,Hajime Moriyasu,Japan,2026-06-19 16:34:46
769,Mexico,Mexico,MEX,Mexico,MEX,https://crests.football-data.org/769.svg,Green / White / Red,http://www.femexfut.org.mx,Javier Aguirre,Mexico,2026-06-19 16:34:46
770,England,England,ENG,England,ENG,https://crests.football-data.org/770.svg,White / Red / Navy Blue,http://www.thefa.com,Thomas Tuchel,Germany,2026-06-19 16:34:46
